ItemID,DataID,OldID,Continent,RivID,X,Y,Country,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB
I108,D037,Ref043,Asia,NR048,142.4994517,43.71860775,Japan,2018,12,MiFish,12S,170,0.9,1,0.9,Global_db
I109,D037,Ref043,Asia,NR048,142.4994517,43.71860775,Japan,2019,1,MiFish,12S,170,0.9,1,0.9,Global_db
I110,D037,Ref043,Asia,NR048,142.4994517,43.71860775,Japan,2019,2,MiFish,12S,170,0.9,1,0.9,Global_db
I111,D037,Ref043,Asia,NR048,142.4994517,43.71860775,Japan,2019,3,MiFish,12S,170,0.9,1,0.9,Global_db
I112,D037,Ref043,Asia,NR048,142.4994517,43.71860775,Japan,2019,4,MiFish,12S,170,0.9,1,0.9,Global_db
I113,D037,Ref043,Asia,NR048,142.4994517,43.71860775,Japan,2019,5,MiFish,12S,170,0.9,1,0.9,Global_db
I114,D037,Ref043,Asia,NR048,142.4994517,43.71860775,Japan,2019,6,MiFish,12S,170,0.9,1,0.9,Global_db
I115,D037,Ref043,Asia,NR048,142.4994517,43.71860775,Japan,2019,7,MiFish,12S,170,0.9,1,0.9,Global_db
I116,D037,Ref043,Asia,NR048,142.4994517,43.71860775,Japan,2019,8,MiFish,12S,170,0.9,1,0.9,Global_db
I117,D038,Ref044,Asia,NR049,100.3979449,5.658344205,Malaysia,2018,2,COI313,COI,313,1,1,1,Global_db
I118,D038,Ref044,Asia,NR049,100.3979449,5.658344205,Malaysia,2018,2,MiFish,12S,170,1,1,1,Global_db
I119,D039,Ref045,Europe,NR050,19.28239451,46.61772003,multiple,2019,7,Teleo,12S,108,28.73,2,57.46,Custom_db
I120,D040,Ref046,Asia,NR051,103.901793,30.71855464,China,2021,6,Riaz01,12S,130,2,1,2,Global_db
I121,D041,Ref047,Asia,NR052,105.8429766,12.05330008,4 countries,2019,8,MiFish,12S,170,1.75,3.5,6.125,Custom_db
I127,D043,Ref049,South_America,NR053,-70.44569615,-4.297847445,multiple,2017,7,MiFish,12S,170,10,3,30,Global_db
I131,D044,Ref050,Asia,NR054,116.0602324,39.69019268,China,2018,5,Ac12S,12S,390,1,3,3,Global_db
I130,D044,Ref050,Asia,NR055,116.2773498,39.99995374,China,2018,5,Ac12S,12S,390,1,3,3,Global_db
I128,D044,Ref050,Asia,NR056,116.7679363,40.17002915,China,2018,5,Ac12S,12S,390,1,3,3,Global_db
I129,D044,Ref050,Asia,NR057,116.525808,39.92582544,China,2018,5,Ac12S,12S,390,1,3,3,Global_db
I004,D002,Ref002,Asia,NR058,129.2767132,35.91758984,Sourth Korea,2018,6,MiFish,12S,170,0.25,4,1,Global_db
I005,D002,Ref002,Asia,NR059,129.2472952,35.55559059,Sourth Korea,2018,6,MiFish,12S,170,0.25,4,1,Global_db
I006,D002,Ref002,Asia,NR060,127.7206093,35.06550051,Sourth Korea,2018,6,MiFish,12S,170,0.25,4,1,Global_db
I007,D002,Ref002,Asia,NR061,128.7973277,35.28828313,Sourth Korea,2018,6,MiFish,12S,170,0.25,4,1,Global_db
I036,D015,Ref016,Asia,NR062,99.95082727,17.15500143,Thailand,2016,11,Riaz01,12S,106,0.1,6,0.6,Custom_db
I037,D015,Ref016,Asia,NR062,99.95082727,17.15500143,Thailand,2016,11,MiFish,12S,170,0.1,6,0.6,Custom_db
I132,D045,CD01,Asia,NR063,114.9721684,23.82775465,China,2022,10,Tele02,12S,170,3,6,18,Global_db
I133,D046,CD02,Asia,NR064,111.351522,30.12208912,China,2019,10,MiFish,12S,170,2,3,6,Global_db
I134,D046,CD02,Asia,NR064,111.351522,30.12208912,China,2019,4,MiFish,12S,170,2,3,6,Global_db
I154,D053,CD18,Asia,NR065,139.9599735,35.87391349,Japan,2023,8,MiFish,12S,170,400,1,400,Global_db
I035,D014,Ref014,Europe,NR066,9.155164925,47.34740733,Switzerland,2016,6,COI313,COI,313,0.25,3,0.75,Custom_db
I140,D049,CD06,Europe,NR067,14.40387737,37.32660109,Italy,2019,9,Tele02,12S,170,1,2,2,Global_db
I141,D049,CD06,Europe,NR067,14.40387737,37.32660109,Italy,2020,1,Tele02,12S,170,1,2,2,Global_db
I148,D051,CD09,Europe,NR068,6.979721485,51.66916477,Germany,2020,9,Tele02,12S,170,1,1.5,1.5,Global_db
I149,D051,CD09,Europe,NR068,6.979721485,51.66916477,Germany,2021,3,Tele02,12S,170,1,1.5,1.5,Global_db
I150,D052,CD13,Europe,NR069,6.963741724,46.36947718,Switzerland,2019,9,MiFish,12S,170,0.5,4,2,Custom_db
I151,D052,CD13,Europe,NR070,8.13532593,47.23605107,Switzerland,2019,9,MiFish,12S,170,0.5,4,2,Custom_db
I152,D052,CD13,Europe,NR071,8.845176556,46.18806158,Switzerland,2019,9,MiFish,12S,170,0.5,4,2,Custom_db
I153,D052,CD13,Europe,NR072,7.040731764,47.42312308,Switzerland,2019,9,MiFish,12S,170,0.5,4,2,Custom_db
I030,D012,Ref012,North_America,NR073,-122.0021374,44.50508343,US,2017,10,A12S,12S,198,3,6,18,Global_db
I031,D012,Ref012,North_America,NR074,-122.9252892,43.21700547,US,2017,10,A12S,12S,198,3,6,18,Global_db
I027,D012,Ref012,North_America,NR075,-123.642,45.2592,US,2017,10,A12S,12S,198,3,6,18,Global_db
I028,D012,Ref012,North_America,NR076,-124.0311,44.3777,US,2017,10,A12S,12S,198,3,6,18,Global_db
I029,D012,Ref012,North_America,NR077,-123.9708,43.1052,US,2017,10,A12S,12S,198,3,6,18,Global_db
I032,D012,Ref012,North_America,NR078,-123.3236056,42.44860318,US,2017,10,A12S,12S,198,3,6,18,Global_db
I038,D016,Ref017,North_America,NR079,-81.85013901,37.90853006,US,2018,3,MiFish,12S,170,0.12,1,0.12,Global_db
I050,D025,CD27,North_America,NR080,-121.3742578,36.18515563,USA,2019,5,COI313,COI,313,3,3,9,Global_db
I135,D047,CD04,North_America,NR081,-97.30226676,30.97789743,US,2021,3,Riaz01,12S,230,3,2,6,Custom_db
I142,D050,CD07,North_America,NR082,-92.14341433,46.70807418,US,2018,10,Ac16S,16S,330,0.25,3,0.75,Global_db
I143,D050,CD07,North_America,NR082,-92.14341433,46.70807418,US,2018,10,Am12S,12S,241,0.25,3,0.75,Global_db
I144,D050,CD07,North_America,NR082,-92.14341433,46.70807418,US,2018,7,Ac16S,16S,330,0.25,3,0.75,Global_db
I145,D050,CD07,North_America,NR082,-92.14341433,46.70807418,US,2018,7,Am12S,12S,241,0.25,3,0.75,Global_db
I146,D050,CD07,North_America,NR082,-92.14341433,46.70807418,US,2018,8,Ac16S,16S,330,0.25,3,0.75,Global_db
I147,D050,CD07,North_America,NR082,-92.14341433,46.70807418,US,2018,8,Am12S,12S,241,0.25,3,0.75,Global_db
I155,D054,CD22,North_America,NR083,-84.14877086,39.42015285,US,multiple,multiple,MiFish,12S,170,0.35,1,0.35,Custom_db
I156,D054,CD22,North_America,NR084,-105.0012683,39.70545956,US,multiple,multiple,MiFish,12S,170,0.35,1,0.35,Custom_db
I040,D018,Ref019,South_America,NR085,-54.58742858,-25.43844351,Brasil,2019,NA,MiFish,12S,170,1,6,6,Custom_db
I041,D018,Ref019,South_America,NR085,-54.58742858,-25.43844351,Brasil,2020,NA,MiFish,12S,170,1,6,6,Custom_db
I049,D024,CD32,South_America,NR086,-74.74285216,-5.485265048,Peru,2018,NA,MiFish,12S,170,0.25,3,0.75,Global_db
I124,D042,Ref048,South_America,NR087,-52.68815004,4.036100078,French Guiana,2016,11,Teleo,12S,108,34,10,340,Custom_db
I122,D042,Ref048,South_America,NR088,-53.222,3.6626,French Guiana,2016,11,Teleo,12S,108,34,10,340,Custom_db
I123,D042,Ref048,South_America,NR089,-53.1741,3.6081,French Guiana,2016,11,Teleo,12S,108,34,10,340,Custom_db
I125,D042,Ref048,South_America,NR090,-52.5149,4.5145,French Guiana,2016,11,Teleo,12S,108,34,10,340,Custom_db
I126,D042,Ref048,South_America,NR091,-52.8983,4.5527,French Guiana,2016,11,Teleo,12S,108,34,10,340,Custom_db
I083,D030,Ref035,Oceania,NR092,138.9904627,-34.54857478,Australia,2013,4,Riaz01,12S,130,1,1,1,Global_db
